"","DATE","PRODUCT","EX_REFIN","EXCISE_TAX","M_TAX","OIL_FUND","CONSV_FUND","WHOLESALE","VAT_WS","WS_VAT","MARKETING_MARGIN","VAT_MM","RETAIL","EX_RATE","FILE","DISCOUNT","OIL_FUND_2"
"151",2004-12-01,"LPG-LARGE(B/KG.)",12.5406,2.17,0.217,-2.4707,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
"152",2004-12-01,"LPG-SMALL(B/KG.)",12.5406,2.17,0.217,-2.4707,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
"153",2004-12-01,"LPG-CARS(B/KG.)",12.5406,2.17,0.217,-2.4707,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
"154",2004-12-22,"ULG 95R ; UNL",11.6321,3.685,0.3685,0.7,0.04,16.4256,1.1498,17.5754,1.6024,0.1122,19.29,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"155",2004-12-22,"ULG 91R ; UNL",11.1573,3.685,0.3685,0.5,0.04,15.7508,1.1026,16.8534,1.5296,0.1071,18.49,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"156",2004-12-22,"KEROSENE",12.8422,3.055,0.3055,0.1,0.04,16.3427,1.144,17.4867,3.5608,0.2493,21.3,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"157",2004-12-22,"HDIESEL(0.05%S)",13.095,2.305,0.2305,0.5,0.04,12.6855,0.888,13.5735,0.95,0.0665,14.59,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,-3.485
"158",2004-12-22,"L-DIESEL",12.7586,2.405,0.2405,0.5,0.04,12.3028,0.8612,13.164,1.1298,0.0791,14.37,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,-3.6413
"159",2004-12-22,"FUEL600 (1) 2%S",8.2873,0.4742,0.0474,0.06,0.04,8.909,0.6236,9.5326,2.8318,0.1982,12.56,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"160",2004-12-22,"FUEL1500 (2) 2%S",7.5098,0.4286,0.0429,0.06,0.04,8.0813,0.5657,8.647,3.0531,0.2137,11.91,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"161",2004-12-22,"LPG-LARGE(B/KG.)",12.4308,2.17,0.217,-2.3609,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"162",2004-12-22,"LPG-SMALL(B/KG.)",12.4308,2.17,0.217,-2.3609,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"163",2004-12-22,"LPG-CARS(B/KG.)",12.4308,2.17,0.217,-2.3609,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.1415,"2412_356d7dd43ca33963d3245c63606c488a.xlsx",NA,0
"164",2005-01-06,"ULG 95R ; UNL",11.3179,3.685,0.3685,1,0.04,16.4114,1.1488,17.5602,1.6166,0.1132,19.29,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"165",2005-01-06,"ULG 91R ; UNL",10.4403,3.685,0.3685,0.8,0.04,15.3338,1.0734,16.4072,1.9465,0.1363,18.49,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"166",2005-01-06,"KEROSENE",11.9243,3.055,0.3055,0.1,0.04,15.4248,1.0797,16.5045,4.2704,0.2989,21.07,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"167",2005-01-06,"HDIESEL(0.05%S)",12.2976,2.305,0.2305,0.5,0.04,12.6855,0.888,13.5735,0.95,0.0665,14.59,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,-2.6876
"168",2005-01-06,"L-DIESEL",12.156,2.405,0.2405,0.5,0.04,12.4871,0.8741,13.3612,0.9455,0.0662,14.37,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,-2.8544
"169",2005-01-06,"FUEL600 (1) 2%S",7.7424,0.4276,0.0428,0.06,0.04,8.3127,0.5819,8.8946,3.0673,0.2147,12.18,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"170",2005-01-06,"FUEL1500 (2) 2%S",6.9828,0.3904,0.039,0.06,0.04,7.5122,0.5259,8.0381,3.0843,0.2159,11.34,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"171",2005-01-06,"LPG-LARGE(B/KG.)",12.341,2.17,0.217,-2.2711,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"172",2005-01-06,"LPG-SMALL(B/KG.)",12.341,2.17,0.217,-2.2711,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"173",2005-01-06,"LPG-CARS(B/KG.)",12.341,2.17,0.217,-2.2711,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.2355,"2439_716a089004d3dcf5b3ba453408649d74.xlsx",NA,0
"174",2005-01-20,"ULG 95R ; UNL",12.4673,3.685,0.3685,0.75,0.04,17.3108,1.2118,18.5226,0.7172,0.0502,19.29,39.5257,"2446_ff12847ed5beae1ba18cb9ff2d844349.xlsx",NA,0
"175",2005-01-20,"ULG 91R ; UNL",11.988,3.685,0.3685,0.55,0.04,16.6315,1.1642,17.7957,0.6489,0.0454,18.49,39.5257,"2446_ff12847ed5beae1ba18cb9ff2d844349.xlsx",NA,0
"176",2005-01-20,"KEROSENE",11.9243,3.055,0.3055,0.1,0.04,15.4248,1.0797,16.5045,4.2668,0.2987,21.07,39.5257,"2446_ff12847ed5beae1ba18cb9ff2d844349.xlsx",NA,0
